model,metric,score
groq/compound-mini,cosine,0.6713824739871206
groq/compound-mini,dice_token,0.6885449779368461
groq/compound-mini,jaccard,0.5608286721290658
groq/compound-mini,sequence_matching,0.6776103852248204
groq/compound-mini,similarity_score,0.6026464032972131
llama-3.3-70b-versatile,cosine,0.6294345259013816
llama-3.3-70b-versatile,dice_token,0.664464527691274
llama-3.3-70b-versatile,jaccard,0.5260298734830847
llama-3.3-70b-versatile,sequence_matching,0.5951185977248191
llama-3.3-70b-versatile,similarity_score,0.5365416992457297
meta-llama/llama-4-maverick-17b-128e-instruct,cosine,0.638372089013296
meta-llama/llama-4-maverick-17b-128e-instruct,dice_token,0.6523041540949587
meta-llama/llama-4-maverick-17b-128e-instruct,jaccard,0.5150769306383917
meta-llama/llama-4-maverick-17b-128e-instruct,sequence_matching,0.6151996400028289
meta-llama/llama-4-maverick-17b-128e-instruct,similarity_score,0.5558469719469666
moonshotai/kimi-k2-instruct-0905,cosine,0.6607762146439599
moonshotai/kimi-k2-instruct-0905,dice_token,0.6714233467617206
moonshotai/kimi-k2-instruct-0905,jaccard,0.5399760024528334
moonshotai/kimi-k2-instruct-0905,sequence_matching,0.6252631877920779
moonshotai/kimi-k2-instruct-0905,similarity_score,0.5605436111232948
openai/gpt-oss-20b,cosine,0.666735896725461
openai/gpt-oss-20b,dice_token,0.6730076558258217
openai/gpt-oss-20b,jaccard,0.5367976967289846
openai/gpt-oss-20b,sequence_matching,0.6646661091822929
openai/gpt-oss-20b,similarity_score,0.5877075594272151
