strategy,model,metric,score
strategy-1,groq/compound-mini,cosine,0.5033035618961289
strategy-1,groq/compound-mini,dice_token,0.4666655789189871
strategy-1,groq/compound-mini,jaccard,0.3209637612440816
strategy-1,groq/compound-mini,sequence_matching,0.494624515526198
strategy-1,groq/compound-mini,similarity_score,0.4217138775832318
strategy-1,llama-3.3-70b-versatile,cosine,0.5188718756950729
strategy-1,llama-3.3-70b-versatile,dice_token,0.5070600334862172
strategy-1,llama-3.3-70b-versatile,jaccard,0.3525403044904324
strategy-1,llama-3.3-70b-versatile,sequence_matching,0.46606418905571945
strategy-1,llama-3.3-70b-versatile,similarity_score,0.417177696347295
strategy-1,meta-llama/llama-4-maverick-17b-128e-instruct,cosine,0.5386005889730525
strategy-1,meta-llama/llama-4-maverick-17b-128e-instruct,dice_token,0.4512589120441444
strategy-1,meta-llama/llama-4-maverick-17b-128e-instruct,jaccard,0.3083427818274366
strategy-1,meta-llama/llama-4-maverick-17b-128e-instruct,sequence_matching,0.45805633677856805
strategy-1,meta-llama/llama-4-maverick-17b-128e-instruct,similarity_score,0.39466482757008664
strategy-1,moonshotai/kimi-k2-instruct-0905,cosine,0.5333140859202418
strategy-1,moonshotai/kimi-k2-instruct-0905,dice_token,0.465306872451269
strategy-1,moonshotai/kimi-k2-instruct-0905,jaccard,0.31700107220856377
strategy-1,moonshotai/kimi-k2-instruct-0905,sequence_matching,0.47280169562923097
strategy-1,moonshotai/kimi-k2-instruct-0905,similarity_score,0.40667660871776046
strategy-1,openai/gpt-oss-20b,cosine,0.5772387980455681
strategy-1,openai/gpt-oss-20b,dice_token,0.4918794700810035
strategy-1,openai/gpt-oss-20b,jaccard,0.34029478347318337
strategy-1,openai/gpt-oss-20b,sequence_matching,0.5093762736436743
strategy-1,openai/gpt-oss-20b,similarity_score,0.4243214397436531
strategy-2,groq/compound-mini,cosine,0.7122096537655009
strategy-2,groq/compound-mini,dice_token,0.7518101965892432
strategy-2,groq/compound-mini,jaccard,0.6175919260945004
strategy-2,groq/compound-mini,sequence_matching,0.7436183965525575
strategy-2,groq/compound-mini,similarity_score,0.6556774715588696
strategy-2,llama-3.3-70b-versatile,cosine,0.6024036849242297
strategy-2,llama-3.3-70b-versatile,dice_token,0.6799211890004728
strategy-2,llama-3.3-70b-versatile,jaccard,0.5299390255053871
strategy-2,llama-3.3-70b-versatile,sequence_matching,0.6053723755432179
strategy-2,llama-3.3-70b-versatile,similarity_score,0.5410695310828527
strategy-2,meta-llama/llama-4-maverick-17b-128e-instruct,cosine,0.6589219386704942
strategy-2,meta-llama/llama-4-maverick-17b-128e-instruct,dice_token,0.7158289087023308
strategy-2,meta-llama/llama-4-maverick-17b-128e-instruct,jaccard,0.5620663756533322
strategy-2,meta-llama/llama-4-maverick-17b-128e-instruct,sequence_matching,0.6657492254638221
strategy-2,meta-llama/llama-4-maverick-17b-128e-instruct,similarity_score,0.6046938695226163
strategy-2,moonshotai/kimi-k2-instruct-0905,cosine,0.69180431427432
strategy-2,moonshotai/kimi-k2-instruct-0905,dice_token,0.7310101447454606
strategy-2,moonshotai/kimi-k2-instruct-0905,jaccard,0.5941148233486944
strategy-2,moonshotai/kimi-k2-instruct-0905,sequence_matching,0.6444447542568921
strategy-2,moonshotai/kimi-k2-instruct-0905,similarity_score,0.5593353331466285
strategy-2,openai/gpt-oss-20b,cosine,0.6471819785550249
strategy-2,openai/gpt-oss-20b,dice_token,0.7107037776958721
strategy-2,openai/gpt-oss-20b,jaccard,0.566940165036607
strategy-2,openai/gpt-oss-20b,sequence_matching,0.6873147851781111
strategy-2,openai/gpt-oss-20b,similarity_score,0.5965251430920191
strategy-3,groq/compound-mini,cosine,0.7986342062997318
strategy-3,groq/compound-mini,dice_token,0.847159158302308
strategy-3,groq/compound-mini,jaccard,0.7439303290486154
strategy-3,groq/compound-mini,sequence_matching,0.7945882435957055
strategy-3,groq/compound-mini,similarity_score,0.730547860749538
strategy-3,llama-3.3-70b-versatile,cosine,0.7670280170848421
strategy-3,llama-3.3-70b-versatile,dice_token,0.8064123605871317
strategy-3,llama-3.3-70b-versatile,jaccard,0.6956102904534346
strategy-3,llama-3.3-70b-versatile,sequence_matching,0.7139192285755198
strategy-3,llama-3.3-70b-versatile,similarity_score,0.6513778703070414
strategy-3,meta-llama/llama-4-maverick-17b-128e-instruct,cosine,0.7175937393963414
strategy-3,meta-llama/llama-4-maverick-17b-128e-instruct,dice_token,0.7898246415384006
strategy-3,meta-llama/llama-4-maverick-17b-128e-instruct,jaccard,0.6748216344344061
strategy-3,meta-llama/llama-4-maverick-17b-128e-instruct,sequence_matching,0.7217933577660968
strategy-3,meta-llama/llama-4-maverick-17b-128e-instruct,similarity_score,0.6681822187481969
strategy-3,moonshotai/kimi-k2-instruct-0905,cosine,0.757210243737318
strategy-3,moonshotai/kimi-k2-instruct-0905,dice_token,0.8179530230884321
strategy-3,moonshotai/kimi-k2-instruct-0905,jaccard,0.7088121118012423
strategy-3,moonshotai/kimi-k2-instruct-0905,sequence_matching,0.7585431134901108
strategy-3,moonshotai/kimi-k2-instruct-0905,similarity_score,0.7156188915054952
strategy-3,openai/gpt-oss-20b,cosine,0.7757869135757898
strategy-3,openai/gpt-oss-20b,dice_token,0.8164397197005893
strategy-3,openai/gpt-oss-20b,jaccard,0.7031581416771634
strategy-3,openai/gpt-oss-20b,sequence_matching,0.797307268725093
strategy-3,openai/gpt-oss-20b,similarity_score,0.7422760954459731
